t,regime,DeltaPhi,E,I,C
9.08,stable,0.189539,0.5029,0.055972,208.873028
9.1,stable,0.17269,0.503108,0.05598,207.430544
9.12,stable,0.167044,0.502992,0.055945,206.667709
9.14,stable,0.168854,0.502675,0.056054,206.465748
9.16,stable,0.167084,0.50281,0.056017,206.440544
9.18,stable,0.149483,0.503145,0.056151,204.751776
9.2,stable,0.161202,0.503386,0.055901,206.499615
9.22,stable,0.15692,0.503058,0.056269,205.600429
9.24,stable,0.15326,0.503116,0.056246,205.218567
9.26,stable,0.156548,0.502857,0.056365,205.274734
9.28,stable,0.154468,0.502905,0.056338,205.074076
9.3,stable,0.155185,0.502778,0.056323,204.972741
9.32,stable,0.159017,0.502185,0.056669,204.56152
9.34,stable,0.156096,0.501813,0.057042,203.49276
9.36,stable,0.155747,0.501841,0.057049,203.498305
9.38,stable,0.15386,0.501722,0.057108,202.952907
9.4,stable,0.158327,0.501232,0.057972,202.728258
9.42,stable,0.142489,0.501538,0.057873,200.362744
9.44,stable,0.139592,0.501529,0.057873,199.557848
9.46,stable,0.139351,0.501413,0.057967,199.025793
9.48,stable,0.14794,0.500757,0.057674,198.68297
9.5,stable,0.1535,0.500612,0.057467,199.699364
9.52,stable,0.152826,0.500605,0.057465,199.475833
9.54,stable,0.138688,0.501175,0.057974,197.37854
9.56,stable,0.140629,0.501422,0.057754,199.399845
9.58,stable,0.143157,0.501286,0.057642,199.560222
9.6,stable,0.143396,0.50122,0.057666,199.365015
9.62,stable,0.143806,0.501272,0.057716,199.711528
9.64,stable,0.153376,0.501588,0.057202,202.585275
9.66,stable,0.154722,0.501636,0.057279,202.935493
9.68,stable,0.15321,0.501512,0.057386,202.407939
9.7,stable,0.153411,0.501587,0.057216,202.591012
9.72,stable,0.154335,0.501586,0.057217,202.748129
9.74,stable,0.152266,0.501646,0.057273,202.538993
9.76,stable,0.148156,0.501804,0.057548,202.226672
9.78,stable,0.144434,0.501789,0.057571,201.478342
9.8,stable,0.144308,0.501763,0.057611,201.389879
9.82,stable,0.143768,0.501807,0.057589,201.393394
9.84,stable,0.143634,0.501779,0.057613,201.295111
9.86,stable,0.164899,0.501739,0.057447,204.684338
9.88,stable,0.163241,0.501747,0.057243,204.442555
9.9,stable,0.157194,0.501723,0.057347,203.526491
9.92,stable,0.158031,0.501689,0.057438,203.599762
